x,y,u1,u2,p
0,0,2.89634e-34,2.92281e-34,-0.0349137
0,0.01,8.11399e-34,1.27029e-34,-0.0345313
0,0.02,1.0975e-33,1.61572e-35,-0.0341488
0,0.03,1.14795e-33,-4.03351e-35,-0.0337664
0,0.04,9.6273e-34,-4.24474e-35,-0.0333839
0,0.05,5.41851e-34,9.82012e-36,-0.0330015
0,0.06,8.5416e-34,-3.78527e-35,-0.0315663
0,0.07,9.96159e-34,-5.32297e-35,-0.0301311
0,0.08,9.67847e-34,-3.63107e-35,-0.0286959
0,0.09,7.69225e-34,1.29041e-35,-0.0272608
0,0.1,4.00292e-34,9.44149e-35,-0.0258256
0,0.11,6.45902e-34,2.90224e-35,-0.0242691
0,0.12,7.53726e-34,1.59357e-35,-0.0227126
0,0.13,7.23763e-34,5.51547e-35,-0.0211561
0,0.14,5.56013e-34,1.46679e-34,-0.0195996
0,0.15,2.50477e-34,2.9051e-34,-0.0180431
0,0.16,4.40896e-34,1.95023e-34,-0.016787
0,0.17,5.23792e-34,1.77214e-34,-0.0155309
0,0.18,4.99167e-34,2.37084e-34,-0.0142748
0,0.19,3.67021e-34,3.74632e-34,-0.0130188
0,0.2,1.27352e-34,5.89858e-34,-0.0117627
0,0.21,2.87731e-34,4.48194e-34,-0.0110204
0,0.22,3.5991e-34,4.17023e-34,-0.0102781
0,0.23,3.43891e-34,4.96345e-34,-0.00953581
0,0.24,2.39673e-34,6.86159e-34,-0.00879351
0,0.25,4.7256e-35,9.86467e-34,-0.00805121
0,0.26,2.12775e-34,7.82788e-34,-0.00798568
0,0.27,2.93043e-34,7.30491e-34,-0.00792014
0,0.28,2.88061e-34,8.29576e-34,-0.00785461
0,0.29,1.97829e-34,1.08004e-33,-0.00778907
0,0.3,2.23456e-35,1.48189e-33,-0.00772354
0,0.31,2.37919e-34,1.20029e-33,-0.00850402
0,0.32,3.50025e-34,1.11974e-33,-0.00928449
0,0.33,3.58664e-34,1.24023e-33,-0.010065
0,0.34,2.63837e-34,1.56176e-33,-0.0108454
0,0.35,6.55418e-35,2.08434e-33,-0.0116259
0,0.36,3.87809e-34,1.70844e-33,-0.0134691
0,0.37,5.61781e-34,1.5928e-33,-0.0153122
0,0.38,5.87459e-34,1.73744e-33,-0.0171553
0,0.39,4.64843e-34,2.14233e-33,-0.0189984
0,0.4,1.93932e-34,2.8075e-33,-0.0208416
0,0.41,6.94948e-34,2.31989e-33,-0.0240408
0,0.42,9.69167e-34,2.16229e-33,-0.02724
0,0.43,1.01659e-33,2.33472e-33,-0.0304392
0,0.44,8.37212e-34,2.83716e-33,-0.0336384
0,0.45,4.31039e-34,3.66962e-33,-0.0368376
0,0.46,1.20371e-33,3.05146e-33,-0.0417935
0,0.47,1.62785e-33,2.84477e-33,-0.0467493
0,0.48,1.70345e-33,3.04955e-33,-0.0517051
0,0.49,1.43052e-33,3.66579e-33,-0.056661
0,0.5,8.09058e-34,4.69351e-33,-0.0616168
0,0.51,1.97494e-33,3.92434e-33,-0.0688829
0,0.52,2.61419e-33,3.6612e-33,-0.076149
0,0.53,2.72682e-33,3.90409e-33,-0.0834151
0,0.54,2.31282e-33,4.65301e-33,-0.0906812
0,0.55,1.37219e-33,5.90795e-33,-0.0979473
0,0.56,3.0929e-33,4.96489e-33,-0.108282
0,0.57,4.03407e-33,4.63773e-33,-0.118616
0,0.58,4.19569e-33,4.92647e-33,-0.12895
0,0.59,3.57777e-33,5.83112e-33,-0.139284
0,0.6,2.1803e-33,7.35167e-33,-0.149618
0,0.61,4.67723e-33,6.21105e-33,-0.164168
0,0.62,6.0398e-33,5.81372e-33,-0.178718
0,0.63,6.268e-33,6.15967e-33,-0.193268
0,0.64,5.36184e-33,7.24891e-33,-0.207817
0,0.65,3.32132e-33,9.08144e-33,-0.222367
0,0.66,6.90824e-33,7.7228e-33,-0.243101
0,0.67,8.86416e-33,7.25464e-33,-0.263835
0,0.68,9.18906e-33,7.67697e-33,-0.284569
0,0.69,7.88297e-33,8.98977e-33,-0.305303
0,0.7,4.94586e-33,1.11931e-32,-0.326037
0,0.71,1.00815e-32,9.54841e-33,-0.354556
0,0.72,1.28725e-32,8.99026e-33,-0.383075
0,0.73,1.33188e-32,9.5186e-33,-0.411595
