x,y,u1,u2,p
0,0,2.83131e-34,2.83374e-34,-0.0339902
0,0.0125,8.82166e-34,8.86017e-35,-0.0334722
0,0.025,1.12403e-33,-2.51925e-35,-0.0329543
0,0.0375,1.00874e-33,-5.80081e-35,-0.0324363
0,0.05,5.36274e-34,-9.8451e-36,-0.0319184
0,0.0625,8.64935e-34,-4.25569e-35,-0.0299068
0,0.075,9.51056e-34,-4.6845e-35,-0.0278952
0,0.0875,7.94637e-34,-2.27093e-35,-0.0258836
0,0.1,3.95677e-34,2.98501e-35,-0.023872
0,0.1125,6.14838e-34,6.5084e-35,-0.0216564
0,0.125,6.62465e-34,9.7399e-35,-0.0194409
0,0.1375,5.3856e-34,1.26795e-34,-0.0172253
0,0.15,2.43123e-34,1.53273e-34,-0.0150098
0,0.1625,3.68504e-34,3.05293e-34,-0.0131989
0,0.175,3.89542e-34,3.89117e-34,-0.011388
0,0.1875,3.06238e-34,4.04745e-34,-0.00957709
0,0.2,1.18591e-34,3.52178e-34,-0.0077662
0,0.2125,1.84012e-34,6.60574e-34,-0.00667178
0,0.225,1.93109e-34,8.07831e-34,-0.00557736
0,0.2375,1.45882e-34,7.93949e-34,-0.00448295
0,0.25,4.23298e-35,6.18929e-34,-0.00338853
0,0.2625,9.37055e-35,1.12147e-33,-0.00324073
0,0.275,1.08643e-34,1.34437e-33,-0.00309292
0,0.2875,8.71418e-35,1.28762e-33,-0.00294511
0,0.3,2.92024e-35,9.51224e-34,-0.0027973
0,0.3125,1.23499e-34,1.68688e-33,-0.00381936
0,0.325,1.65683e-34,1.99879e-33,-0.00484141
0,0.3375,1.55755e-34,1.88694e-33,-0.00586347
0,0.35,9.37148e-35,1.35134e-33,-0.00688553
0,0.3625,3.00879e-34,2.36292e-33,-0.0093472
0,0.375,3.96571e-34,2.77913e-33,-0.0118089
0,0.3875,3.80792e-34,2.59998e-33,-0.0142705
0,0.4,2.53542e-34,1.82548e-33,-0.0167322
0,0.4125,6.604e-34,3.16155e-33,-0.020987
0,0.425,8.42416e-34,3.69987e-33,-0.0252417
0,0.4375,7.99589e-34,3.44043e-33,-0.0294965
0,0.45,5.3192e-34,2.38323e-33,-0.0337512
0,0.4625,1.248e-33,4.10012e-33,-0.0402745
0,0.475,1.55805e-33,4.78153e-33,-0.0467978
0,0.4875,1.46208e-33,4.42744e-33,-0.053321
0,0.5,9.60081e-34,3.03786e-33,-0.0598443
0,0.5125,2.126e-33,5.20225e-33,-0.0692922
0,0.525,2.61812e-33,6.05202e-33,-0.0787401
0,0.5375,2.43643e-33,5.58717e-33,-0.0881879
0,0.55,1.58094e-33,3.8077e-33,-0.0976358
0,0.5625,3.38088e-33,6.49985e-33,-0.110911
0,0.575,4.1263e-33,7.54916e-33,-0.124187
0,0.5875,3.8172e-33,6.95566e-33,-0.137463
0,0.6,2.45358e-33,4.71932e-33,-0.150738
0,0.6125,5.13654e-33,8.04228e-33,-0.169228
0,0.625,6.23304e-33,9.33233e-33,-0.187717
0,0.6375,5.74309e-33,8.58947e-33,-0.206206
0,0.65,3.66668e-33,5.81369e-33,-0.224696
0,0.6625,7.58195e-33,9.91203e-33,-0.250813
0,0.675,9.17155e-33,1.15031e-32,-0.27693
0,0.6875,8.43549e-33,1.05869e-32,-0.303047
0,0.7,5.37377e-33,7.16351e-33,-0.329165
0,0.7125,1.10341e-32,1.21843e-32,-0.364874
0,0.725,1.33113e-32,1.4146e-32,-0.400583
0,0.7375,1.22054e-32,1.30485e-32,-0.436292
0,0.75,7.71635e-33,8.89193e-33,-0.472001
0,0.7625,1.60333e-32,1.53716e-32,-0.531533
0,0.775,1.94333e-32,1.79176e-32,-0.591065
0,0.7875,1.79166e-32,1.65299e-32,-0.650596
0,0.8,1.1483e-32,1.12086e-32,-0.710128
0,0.8125,2.38624e-32,1.96864e-32,-0.810054
0,0.825,2.90698e-32,2.31147e-32,-0.90998
0,0.8375,2.7105e-32,2.14937e-32,-1.00991
0,0.85,1.79681e-32,1.48233e-32,-1.10983
0,0.8625,3.76178e-32,2.30199e-32,-1.17068
0,0.875,4.49831e-32,2.65046e-32,-1.23154
0,0.8875,4.0064e-32,2.52773e-32,-1.29239
0,0.9,2.28604e-32,1.9338e-32,-1.35324
0,0.9125,6.60802e-32,5.82082e-32,-2.44247
0,0.925,8.87559e-32,7.17597e-32,-3.5317
0,0.9375,9.08875e-32,5.99928e-32,-4.62093
0,0.95,7.24749e-32,2.29074e-32,-5.71016
0,0.9625,-0.125,6.65529e-32,-6.9771
0,0.975,2.90668e-31,6.23357e-32,-8.24403
0,0.9875,0.375,1.02557e-32,-9.51097
0,1,1,-8.9687e-32,-10.7779
0.0125,0,1.24233e-34,8.88595e-34,-0.0345201
0.0125,0.0125,8.24421e-05,-8.23604e-05,-0.0339939
0.0125,0.025,5.99418e-05,-7.14456e-05,-0.033476
0.0125,0.0375,3.74415e-05,-6.05309e-05,-0.032958
0.0125,0.05,1.49411e-05,-4.96161e-05,-0.0324401
0.0125,0.0625,3.62545e-05,-0.000113095,-0.0311415
0.0125,0.075,1.26752e-06,4.81516e-06,-0.0291299
0.0125,0.0875,-3.37194e-05,0.000122725,-0.0271183
0.0125,0.1,-6.87064e-05,0.000240635,-0.0251067
0.0125,0.1125,-5.10881e-05,0.000357802,-0.0237565
0.0125,0.125,-8.2183e-05,0.000600587,-0.021541
0.0125,0.1375,-0.000113278,0.000843372,-0.0193254
0.0125,0.15,-0.000144373,0.00108616,-0.0171099
0.0125,0.1625,-0.000125488,0.00136171,-0.0161197
0.0125,0.175,-0.000153803,0.00172034,-0.0143089
0.0125,0.1875,-0.000182118,0.00207897,-0.012498
0.0125,0.2,-0.000210433,0.00243761,-0.0106871
0.0125,0.2125,-0.000189908,0.00284713,-0.0103864
0.0125,0.225,-0.000217018,0.003314,-0.009292
0.0125,0.2375,-0.000244128,0.00378088,-0.00819758
0.0125,0.25,-0.000271238,0.00424775,-0.00710317
0.0125,0.2625,-0.00024867,0.00478004,-0.0077555
0.0125,0.275,-0.000276408,0.005354,-0.00760769
0.0125,0.2875,-0.000304147,0.00592795,-0.00745988
0.0125,0.3,-0.000331885,0.00650191,-0.00731208
0.0125,0.3125,-0.000307068,0.00715648,-0.00917607
0.0125,0.325,-0.000336965,0.00784257,-0.0101981
0.0125,0.3375,-0.000366861,0.00852866,-0.0112202
0.0125,0.35,-0.000396758,0.00921475,-0.0122422
0.0125,0.3625,-0.00036947,0.0100005,-0.0156184
0.0125,0.375,-0.000402802,0.010809,-0.0180801
0.0125,0.3875,-0.000436134,0.0116176,-0.0205417
0.0125,0.4,-0.000469467,0.0124261,-0.0230034
0.0125,0.4125,-0.000439448,0.0133596,-0.0282722
0.0125,0.425,-0.000477473,0.0143056,-0.032527
0.0125,0.4375,-0.000515498,0.0152517,-0.0367817
0.0125,0.45,-0.000553523,0.0161977,-0.0410365
0.0125,0.4625,-0.000520387,0.0173031,-0.0487022
0.0125,0.475,-0.000564696,0.0184067,-0.0552255
0.0125,0.4875,-0.000609005,0.0195103,-0.0617488
0.0125,0.5,-0.000653314,0.0206139,-0.0682721
0.0125,0.5125,-0.000616697,0.0219253,-0.0790236
0.0125,0.525,-0.000669769,0.0232136,-0.0884715
0.0125,0.5375,-0.000722841,0.0245018,-0.0979193
0.0125,0.55,-0.000775912,0.02579,-0.107367
0.0125,0.5625,-0.00073387,0.0273554,-0.122184
0.0125,0.575,-0.000799778,0.0288673,-0.13546
0.0125,0.5875,-0.000865687,0.0303793,-0.148735
0.0125,0.6,-0.000931595,0.0318912,-0.162011
0.0125,0.6125,-0.000884034,0.0337887,-0.182377
0.0125,0.625,-0.000972116,0.0355816,-0.200866
0.0125,0.6375,-0.0010602,0.0373745,-0.219355
0.0125,0.65,-0.00114828,0.0391674,-0.237845
0.0125,0.6625,-0.0011113,0.0415347,-0.265968
0.0125,0.675,-0.00123435,0.0437085,-0.292085
0.0125,0.6875,-0.0013574,0.0458822,-0.318203
0.0125,0.7,-0.00148045,0.048056,-0.34432
0.0125,0.7125,-0.00135543,0.0510581,-0.384483
0.0125,0.725,-0.00153157,0.0538035,-0.420193
0.0125,0.7375,-0.00170772,0.0565489,-0.455902
0.0125,0.75,-0.00188386,0.0592943,-0.491611
0.0125,0.7625,-0.00209928,0.063796,-0.551997
0.0125,0.775,-0.00250412,0.0672066,-0.611529
0.0125,0.7875,-0.00290895,0.0706172,-0.671061
0.0125,0.8,-0.00331379,0.0740278,-0.730592
0.0125,0.8125,-0.00421706,0.0807223,-0.816264
0.0125,0.825,-0.00438154,0.0859749,-0.91619
0.0125,0.8375,-0.00454602,0.0912276,-1.01612
0.0125,0.85,-0.0047105,0.0964803,-1.11604
0.0125,0.8625,0.000448898,0.103681,-1.30955
0.0125,0.875,0.000259166,0.110485,-1.37041
0.0125,0.8875,6.94347e-05,0.117289,-1.43126
0.0125,0.9,-0.000120297,0.124093,-1.49211
0.0125,0.9125,-0.0444606,0.177504,-1.77436
0.0125,0.925,-0.0433818,0.165551,-2.86359
0.0125,0.9375,-0.0423031,0.153598,-3.95282
0.0125,0.95,-0.0412243,0.141646,-5.04205
0.0125,0.9625,-0.00901281,0.115987,-4.92497
0.0125,0.975,0.0773248,0.0773248,-6.19191
0.0125,0.9875,0.413662,0.0386624,-7.45885
0.0125,1,1,-1.49103e-31,-8.72579
0.025,0,2.56851e-35,1.14271e-33,-0.0350501
0.025,0.0125,7.11921e-05,-5.96548e-05,-0.0345239
0.025,0.025,6.39449e-05,-6.32744e-05,-0.0339976
0.025,0.0375,1.89442e-05,-4.14449e-05,-0.0334797
0.025,0.05,-2.60565e-05,-1.96154e-05,-0.0329617
0.025,0.0625,-8.71531e-05,1.59314e-05,-0.0316632
0.025,0.075,-0.000153152,0.000159697,-0.0303646
