x,y,u1,u2,p
0,0,4.7444e-34,7.03923e-34,-0.035425
0,0.01,1.09945e-33,3.69182e-34,-0.034534
0,0.02,1.58603e-33,1.09355e-34,-0.033643
0,0.03,1.93418e-33,-7.55568e-35,-0.032752
0,0.04,2.14391e-33,-1.85554e-34,-0.031861
0,0.05,2.21521e-33,-2.20637e-34,-0.0309699
0,0.06,2.14808e-33,-1.80806e-34,-0.0300789
0,0.07,1.94253e-33,-6.60593e-35,-0.0291879
0,0.08,1.59855e-33,1.23601e-34,-0.0282969
0,0.09,1.11614e-33,3.88177e-34,-0.0274059
0,0.1,4.95304e-34,7.27667e-34,-0.0265149
0,0.11,9.80069e-34,7.85378e-35,-0.0251157
0,0.12,1.33941e-33,-3.93812e-34,-0.0237166
0,0.13,1.57333e-33,-6.89384e-34,-0.0223174
0,0.14,1.68183e-33,-8.08177e-34,-0.0209182
0,0.15,1.66491e-33,-7.50192e-34,-0.0195191
0,0.16,1.52257e-33,-5.15428e-34,-0.0181199
0,0.17,1.25481e-33,-1.03885e-34,-0.0167207
0,0.18,8.61624e-34,4.84436e-34,-0.0153216
0,0.19,3.43017e-34,1.24954e-33,-0.0139224
0,0.2,-3.0101e-34,2.19141e-33,-0.0125232
0,0.21,3.13838e-34,6.81739e-34,-0.0121985
0,0.22,7.81936e-34,-4.39053e-34,-0.0118738
0,0.23,1.10328e-33,-1.17096e-33,-0.011549
0,0.24,1.27788e-33,-1.51399e-33,-0.0112243
0,0.25,1.30573e-33,-1.46814e-33,-0.0108995
0,0.26,1.18683e-33,-1.0334e-33,-0.0105748
0,0.27,9.21176e-34,-2.09783e-34,-0.01025
0,0.28,5.08774e-34,1.00272e-33,-0.0099253
0,0.29,-5.03776e-35,2.6041e-33,-0.00960056
0,0.3,-7.56279e-34,4.59437e-33,-0.00927581
0,0.31,1.98459e-34,1.75372e-33,-0.0107074
0,0.32,9.42364e-34,-3.79348e-34,-0.012139
0,0.33,1.47544e-33,-1.80483e-33,-0.0135705
