x,y,u1,u2,p
0,0,5.34852e-34,6.49506e-34,-0.0355676
0,0.01,1.12325e-33,3.72398e-34,-0.0346779
0,0.02,1.58453e-33,1.52217e-34,-0.0337881
0,0.03,1.91868e-33,-1.10373e-35,-0.0328984
0,0.04,2.12571e-33,-1.17365e-34,-0.0320087
0,0.05,2.2056e-33,-1.66767e-34,-0.031119
0,0.06,2.15837e-33,-1.59242e-34,-0.0302292
0,0.07,1.98402e-33,-9.47909e-35,-0.0293395
0,0.08,1.68254e-33,2.65868e-35,-0.0284498
0,0.09,1.25393e-33,2.04891e-34,-0.0275601
0,0.1,6.982e-34,4.40122e-34,-0.0266703
0,0.11,1.02146e-33,1.82788e-34,-0.0252787
0,0.12,1.25839e-33,7.46988e-36,-0.023887
0,0.13,1.409e-33,-8.58333e-35,-0.0224954
0,0.14,1.47328e-33,-9.71214e-35,-0.0211037
0,0.15,1.45123e-33,-2.63945e-35,-0.0197121
0,0.16,1.34286e-33,1.26348e-34,-0.0183204
0,0.17,1.14815e-33,3.61105e-34,-0.0169288
0,0.18,8.67127e-34,6.77877e-34,-0.0155371
0,0.19,4.99772e-34,1.07666e-33,-0.0141454
0,0.2,4.60909e-35,1.55747e-33,-0.0127538
0,0.21,3.84764e-34,1.1072e-33,-0.0124381
0,0.22,6.41634e-34,8.00184e-34,-0.0121224
0,0.23,8.16701e-34,6.36425e-34,-0.0118067
0,0.24,9.09965e-34,6.15919e-34,-0.011491
0,0.25,9.21425e-34,7.38668e-34,-0.0111753
0,0.26,8.51083e-34,1.00467e-33,-0.0108596
0,0.27,6.98937e-34,1.41393e-33,-0.0105439
0,0.28,4.64987e-34,1.96644e-33,-0.0102282
0,0.29,1.49235e-34,2.66221e-33,-0.00991254
0,0.3,-2.48321e-34,3.50123e-33,-0.00959685
0,0.31,3.01505e-34,2.72289e-33,-0.0110329
0,0.32,7.34581e-34,2.18038e-33,-0.012469
0,0.33,1.05091e-33,1.8737e-33,-0.0139051
0,0.34,1.25048e-33,1.80284e-33,-0.0153412
0,0.35,1.33331e-33,1.9678e-33,-0.0167773
0,0.36,1.29938e-33,2.36859e-33,-0.0182133
0,0.37,1.14871e-33,3.00521e-33,-0.0196494
0,0.38,8.81286e-34,3.87765e-33,-0.0210855
0,0.39,4.97111e-34,4.98592e-33,-0.0225216
0,0.4,-3.81305e-36,6.33001e-33,-0.0239577
0,0.41,1.06803e-33,5.07017e-33,-0.0278142
0,0.42,1.92382e-33,4.17705e-33,-0.0316708
0,0.43,2.56357e-33,3.65065e-33,-0.0355274
0,0.44,2.98728e-33,3.49098e-33,-0.039384
0,0.45,3.19494e-33,3.69803e-33,-0.0432406
0,0.46,3.18655e-33,4.2718e-33,-0.0470972
0,0.47,2.96212e-33,5.2123e-33,-0.0509538
0,0.48,2.52164e-33,6.51952e-33,-0.0548104
0,0.49,1.86511e-33,8.19346e-33,-0.058667
0,0.5,9.9254e-34,1.02341e-32,-0.0625236
0,0.51,3.15222e-33,8.46922e-33,-0.072114
0,0.52,4.89275e-33,7.21306e-33,-0.0817045
0,0.53,6.21412e-33,6.46564e-33,-0.091295
0,0.54,7.11634e-33,6.22696e-33,-0.100885
0,0.55,7.59941e-33,6.49702e-33,-0.110476
0,0.56,7.66333e-33,7.27583e-33,-0.120066
0,0.57,7.30809e-33,8.56337e-33,-0.129657
0,0.58,6.5337e-33,1.03597e-32,-0.139247
0,0.59,5.34016e-33,1.26647e-32,-0.148838
0,0.6,3.72746e-33,1.54785e-32,-0.158428
0,0.61,7.79246e-33,1.30719e-32,-0.177569
0,0.62,1.10899e-32,1.13557e-32,-0.196709
0,0.63,1.36199e-32,1.03299e-32,-0.21585
0,0.64,1.53823e-32,9.99444e-33,-0.23499
0,0.65,1.63772e-32,1.03494e-32,-0.254131
0,0.66,1.66046e-32,1.13947e-32,-0.273272
0,0.67,1.60644e-32,1.31304e-32,-0.292412
0,0.68,1.47567e-32,1.55565e-32,-0.311553
0,0.69,1.26815e-32,1.8673e-32,-0.330693
0,0.7,9.8388e-33,2.24798e-32,-0.349834
0,0.71,1.72902e-32,1.81866e-32,-0.36292
0,0.72,2.32072e-32,1.49892e-32,-0.376007
0,0.73,2.75896e-32,1.28877e-32,-0.389093
0,0.74,3.04375e-32,1.18821e-32,-0.40218
0,0.75,3.1751e-32,1.19724e-32,-0.415266
0,0.76,3.15299e-32,1.31585e-32,-0.428353
0,0.77,2.97744e-32,1.54406e-32,-0.441439
0,0.78,2.64843e-32,1.88185e-32,-0.454526
0,0.79,2.16597e-32,2.32923e-32,-0.467612
0,0.8,1.53007e-32,2.8862e-32,-0.480698
0,0.81,3.31305e-32,3.77799e-32,-0.70069
0,0.82,4.86094e-32,4.46959e-32,-0.920682
0,0.83,6.17373e-32,4.96098e-32,-1.14067
0,0.84,7.25143e-32,5.25216e-32,-1.36067
0,0.85,8.09404e-32,5.34314e-32,-1.58066
0,0.86,8.70156e-32,5.23392e-32,-1.80065
0,0.87,9.07398e-32,4.92449e-32,-2.02064
0,0.88,9.21131e-32,4.41486e-32,-2.24063
0,0.89,9.11355e-32,3.70502e-32,-2.46063
0,0.9,8.78069e-32,2.79498e-32,-2.68062
0,0.91,-0.08,4.71513e-32,-2.93484
0,0.92,-0.12,5.95686e-32,-3.18906
0,0.93,-0.12,6.52015e-32,-3.44329
0,0.94,-0.08,6.405e-32,-3.69751
0,0.95,5.55112e-16,5.61143e-32,-3.95173
0,0.96,0.12,4.13942e-32,-4.20596
0,0.97,0.28,1.98897e-32,-4.46018
0,0.98,0.48,-8.39903e-33,-4.7144
0,0.99,0.72,-4.34721e-32,-4.96863
0,1,1,-8.53296e-32,-5.22285
0.01,0,2.68885e-19,-2.89434e-19,-0.0364406
0.01,0.01,0.000294004,-0.000287541,-0.0355713
0.01,0.02,0.000257492,-0.000219925,-0.0346816
0.01,0.03,0.00022098,-0.000152309,-0.0337918
0.01,0.04,0.000184468,-8.46934e-05,-0.0329021
0.01,0.05,0.000147956,-1.70775e-05,-0.0320124
0.01,0.06,0.000111444,5.05384e-05,-0.0311227
0.01,0.07,7.49316e-05,0.000118154,-0.0302329
0.01,0.08,3.84196e-05,0.00018577,-0.0293432
0.01,0.09,1.90751e-06,0.000253386,-0.0284535
0.01,0.1,-3.46045e-05,0.000321002,-0.0275638
0.01,0.11,9.88825e-05,0.000241141,-0.0270824
0.01,0.12,6.83048e-05,0.000420161,-0.0256908
0.01,0.13,3.7727e-05,0.000599181,-0.0242991
0.01,0.14,7.14923e-06,0.000778202,-0.0229075
0.01,0.15,-2.34285e-05,0.000957222,-0.0215158
0.01,0.16,-5.40063e-05,0.00113624,-0.0201242
0.01,0.17,-8.45841e-05,0.00131526,-0.0187325
0.01,0.18,-0.000115162,0.00149428,-0.0173409
0.01,0.19,-0.00014574,0.0016733,-0.0159492
0.01,0.2,-0.000176317,0.00185232,-0.0145575
0.01,0.21,-1.07544e-05,0.00213067,-0.0152389
0.01,0.22,-4.17393e-05,0.00242402,-0.0149232
0.01,0.23,-7.27243e-05,0.00271737,-0.0146075
0.01,0.24,-0.000103709,0.00301072,-0.0142918
0.01,0.25,-0.000134694,0.00330407,-0.0139761
0.01,0.26,-0.000165679,0.00359742,-0.0136604
0.01,0.27,-0.000196664,0.00389077,-0.0133448
0.01,0.28,-0.000227649,0.00418412,-0.0130291
0.01,0.29,-0.000258634,0.00447747,-0.0127134
0.01,0.3,-0.000289619,0.00477082,-0.0123977
0.01,0.31,-9.80871e-05,0.00530806,-0.0148787
0.01,0.32,-0.000136649,0.00573198,-0.0163148
0.01,0.33,-0.00017521,0.0061559,-0.0177509
0.01,0.34,-0.000213772,0.00657982,-0.0191869
0.01,0.35,-0.000252334,0.00700374,-0.020623
0.01,0.36,-0.000290895,0.00742766,-0.0220591
0.01,0.37,-0.000329457,0.00785158,-0.0234952
0.01,0.38,-0.000368019,0.0082755,-0.0249313
0.01,0.39,-0.00040658,0.00869942,-0.0263673
0.01,0.4,-0.000445142,0.00912334,-0.0278034
0.01,0.41,-0.000188978,0.00998623,-0.0332278
0.01,0.42,-0.000236503,0.0105769,-0.0370844
0.01,0.43,-0.000284028,0.0111677,-0.040941
0.01,0.44,-0.000331553,0.0117584,-0.0447976
0.01,0.45,-0.000379078,0.0123491,-0.0486542
0.01,0.46,-0.000426603,0.0129398,-0.0525108
0.01,0.47,-0.000474128,0.0135305,-0.0563674
0.01,0.48,-0.000521653,0.0141212,-0.060224
0.01,0.49,-0.000569178,0.014712,-0.0640805
0.01,0.5,-0.000616703,0.0153027,-0.0679371
0.01,0.51,-0.000523904,0.0169496,-0.07825
0.01,0.52,-0.000602826,0.0177153,-0.0878405
0.01,0.53,-0.000681748,0.018481,-0.097431
0.01,0.54,-0.000760671,0.0192467,-0.107021
0.01,0.55,-0.000839593,0.0200125,-0.116612
0.01,0.56,-0.000918516,0.0207782,-0.126202
0.01,0.57,-0.000997438,0.0215439,-0.135793
0.01,0.58,-0.00107636,0.0223096,-0.145383
0.01,0.59,-0.00115528,0.0230754,-0.154974
0.01,0.6,-0.00123421,0.0238411,-0.164564
0.01,0.61,-0.00153408,0.0265631,-0.181048
0.01,0.62,-0.00156075,0.0276582,-0.200188
0.01,0.63,-0.00158742,0.0287534,-0.219329
0.01,0.64,-0.00161409,0.0298485,-0.23847
0.01,0.65,-0.00164075,0.0309437,-0.25761
0.01,0.66,-0.00166742,0.0320389,-0.276751
0.01,0.67,-0.00169409,0.033134,-0.295891
0.01,0.68,-0.00172076,0.0342292,-0.315032
0.01,0.69,-0.00174743,0.0353244,-0.334172
0.01,0.7,-0.0017741,0.0364195,-0.353313
0.01,0.71,0.000588752,0.039684,-0.392523
0.01,0.72,0.000578116,0.0409955,-0.40561
0.01,0.73,0.000567481,0.042307,-0.418696
0.01,0.74,0.000556846,0.0436185,-0.431782
0.01,0.75,0.000546211,0.04493,-0.444869
0.01,0.76,0.000535576,0.0462415,-0.457955
0.01,0.77,0.000524941,0.047553,-0.471042
